CustomerID,SimilarCustomer1,Score1,SimilarCustomer2,Score2,SimilarCustomer3,Score3
C0001,C0137,0.9999999999535784,C0152,0.9999999999084888,C0056,0.999999996896224
C0002,C0029,0.9999999959796236,C0199,0.9999999924770432,C0031,0.9999999890215164
C0010,C0029,0.9999999962646264,C0002,0.9999999844937388,C0025,0.9999999835221388
C0003,C0178,0.9999999999621612,C0035,0.9999999971264636,C0133,0.9999999969215194
C0004,C0021,0.9999999998417696,C0101,0.9999999986285694,C0145,0.9999999942803016
C0005,C0073,0.9999999998405597,C0159,0.9999999996679972,C0112,0.9999999985765446
C0006,C0079,0.9999999999865862,C0117,0.9999999989687686,C0158,0.9999999920341442
C0007,C0085,0.9999999999691184,C0120,0.9999999987975172,C0042,0.9999999966847496
C0008,C0175,0.9999997355616248,C0065,0.9999994684792668,C0141,0.9999990239193226
C0009,C0077,0.9999999748101096,C0043,0.9999997829066128,C0032,0.9999994442655252
C0011,C0107,0.9999999992597688,C0183,0.999999999157752,C0048,0.999999999147952
C0016,C0048,0.9999999999702336,C0183,0.9999999999683684,C0011,0.999999998799675
C0012,C0155,0.9999999993482904,C0122,0.9999999991411171,C0046,0.9999999956435182
C0013,C0045,0.999999999991704,C0143,0.9999999999645548,C0041,0.999999999607407
C0014,C0058,0.9999999054276832,C0151,0.999999559812634,C0150,0.9999994994375336
C0015,C0095,0.9999999883601216,C0144,0.9999999847980692,C0063,0.9999999693767728
C0017,C0162,0.9999999998582608,C0113,0.9999999997954976,C0004,0.9999999824343132
C0018,C0200,0.999999999987452,C0170,0.9999999995144556,C0187,0.9999999992909112
C0019,C0172,0.9999999998093122,C0116,0.9999998419357382,C0034,0.9999996943830858
C0020,C0110,0.9999999998688291,C0078,0.9999999984153072,C0080,0.9999999979032562
